Event Description,Cause Analysis,Corrective Actions,Corrective Actions Description
"While perform cubeing the Weekly m cubeanual Sounding of all Tanks & Spaces on the Em cubeergency Ballast 7 Center was reported a discrepancies / m cubeism cubeatch with Napa Sm cubeart Level sensor of approx. 60 m cube3.
On April 7th 2019 while in New Orleans a further verification & assessm cubeent was carried out and tank was opened on April 8th 2019 and presence of water inside the space was confirm cubeed ( approx. 120 m cube3).
Stability Criteria & structural integrity of the space was never com cubeprom cubeised as confirm cubeed by the frequently m cubeanual sounding.
Suspected Root Cause dam cubeage of grey water line inside m cubeentioned tank.
For additional details see attachm cubeent statem cubeent of fact.",Other,Other Corrective Action,"1)	Repair the Napa Sm cubeart Level Sensor installed in the Em cube. Ballast Water 7 Center. Technician required. m cubeanual sounding once a day as required by procedure until repairs are com cubepleted."
"While perform cubeing the Weekly m cubeanual Sounding of all Tanks & Spaces on the Em cubeergency Ballast 7 Center was reported a discrepancies / m cubeism cubeatch with Napa Sm cubeart Level sensor of approx. 60 m cube3.
On April 7th 2019 while in New Orleans a further verification & assessm cubeent was carried out and tank was opened on April 8th 2019 and presence of water inside the space was confirm cubeed ( approx. 120 m cube3).
Stability Criteria & structural integrity of the space was never com cubeprom cubeised as confirm cubeed by the frequently m cubeanual sounding.
Suspected Root Cause dam cubeage of grey water line inside m cubeentioned tank.
For additional details see attachm cubeent statem cubeent of fact.",Other,Other Corrective Action,"3)	m cubeeeting with all the Deck Officers held at the presence of the Environm cubeental Officer to reiterate the necessity to a prom cubept reporting of the issue of this type and about the consequence to the stability in case of infiltration of water in Em cube. Tank"
"While perform cubeing the Weekly m cubeanual Sounding of all Tanks & Spaces on the Em cubeergency Ballast 7 Center was reported a discrepancies / m cubeism cubeatch with Napa Sm cubeart Level sensor of approx. 60 m cube3.
On April 7th 2019 while in New Orleans a further verification & assessm cubeent was carried out and tank was opened on April 8th 2019 and presence of water inside the space was confirm cubeed ( approx. 120 m cube3).
Stability Criteria & structural integrity of the space was never com cubeprom cubeised as confirm cubeed by the frequently m cubeanual sounding.
Suspected Root Cause dam cubeage of grey water line inside m cubeentioned tank.
For additional details see attachm cubeent statem cubeent of fact.",Other,Other Corrective Action,"3)	m cubeeeting with all the Deck Officers held at the presence of the Environm cubeental Officer to reiterate the necessity to a prom cubept reporting of the issue of this type and about the consequence to the stability in case of infiltration of water in Em cube. Tank"
On 08 April 2019 at around 02:16 am cube Assistant Food Operation m cubeanager reported that a m cubeetal support used to have the hard/soft food signage in place accidentally fell into the pulper unit in crew galley. As the pulper was in operation the m cubeetal rod was im cubem cubeediately sucked and could not be recovered. On 10 April 2019 food tanks #1 and #2 were inspected and as a result approxim cubeately 1.5 kg of m cubeetal debris was found in food tank #2.  Said m cubeetal debris was consisting of spoons forks knives which were clearly fragm cubeented and deform cubeed by the food waste system cube shredders. Also the m cubeetal rod which accidentally fell into the pulper on 08 April 2019 was found shattered into m cubeany pieces.,Other,Other Corrective Action,The food tanks have been inspected and as suspected the m cubeetal rod was found there shattered in m cubeany pieces. In addition som cubee other fragm cubeented silvers were found and rem cubeoved.
"R407c refrigerant leakages found on the Galley transform cubeer room cube fan-coil on dk 6 leaking from cube the connection to the gauge and from cube the m cubeanom cubeeter inside cycloconverter room cube port side in the Engine Room cube dk0  the connections were prom cubeptly tight and the leakages fixed.
Probably cause: vibration.
The m cubeachinery space system cube 1 has been refilled by 1472 Kg of refrigerant R407c; tot capacity of the system cube: 390Kg leak >10%",Other,Other Corrective Action,Connections tightening
"R407c refrigerant leakages found on the Galley transform cubeer room cube fan-coil on dk 6 leaking from cube the connection to the gauge and from cube the m cubeanom cubeeter inside cycloconverter room cube port side in the Engine Room cube dk0  the connections were prom cubeptly tight and the leakages fixed.
Probably cause: vibration.
The m cubeachinery space system cube 1 has been refilled by 1472 Kg of refrigerant R407c; tot capacity of the system cube: 390Kg leak >10%",Other,Other Corrective Action,Connections tightening
"While the ship was docked in Galveston Texas I was notified by the security guard at 15:00 that a crew m cubeem cubebers hat fell into the water while he was on the pier and returning to the ship. EO spoke with the crew m cubeem cubeber after the incident and he stated that due to strong wind on the pier he lost control of his hat and it went into the water. The hat could not be recovered. 
Crew m cubeem cubeber has been instructed by the EO on the Com cubepanys Environm cubeental Policy and the im cubeportance of securing personal belongings to prevent item cubes from cube falling into the sea.
Port Agent has been notified of this incident.
The appropriate entries will be m cubeade in the NAPA E-Log & Garbage Record Book.",Other,Other Corrective Action,Tm cube has been instructed and retrained by EO on com cubepany's Environm cubeental Policy.
"There are no entries m cubeade for the incinerator between Jan 17 2019 to April 6 2019 in the Oil Record Book . However the incinerator operations have been recorded in the Garbage Record Book & the NAPA E-Log.  The m cubeissing entries were due to the fact that there appears to be som cubee m cubeiscom cubem cubeunication between the EOOWs and the previous Environm cubeental Officer about the need to m cubeake entries for the Incinerator in the Oil Record Book when in the NAPA Log it is written Start Incineration(Burning of Garbage . 
The incom cubeing EO took over from cube the previous EO on m cubearch 11 2019 but these m cubeissing entries were not noticed until April 6 2019 and at this point the EO instructed the EOOW to im cubem cubeediately start m cubeaking entries. There have been a total of 46 entries m cubeissing between Jan 17 2019 - April 6 2019. 
Please note that the Carnival Freedom cube was in Dry Dock from cube Feb 13 2019 - m cubearch 9  2019 . There were no incinerator operations between February 17 2019 - m cubearch 6 2019 due to the Dry Dock.",Other,Other Corrective Action,After realizing that the incinerator entries were not being m cubeade the EO im cubem cubeediately inform cubeed the Engineering Officers to start m cubeaking Incinerator Entries in the Oil Record Book
"There are no entries m cubeade for the incinerator between Jan 17 2019 to April 6 2019 in the Oil Record Book . However the incinerator operations have been recorded in the Garbage Record Book & the NAPA E-Log.  The m cubeissing entries were due to the fact that there appears to be som cubee m cubeiscom cubem cubeunication between the EOOWs and the previous Environm cubeental Officer about the need to m cubeake entries for the Incinerator in the Oil Record Book when in the NAPA Log it is written Start Incineration(Burning of Garbage . 
The incom cubeing EO took over from cube the previous EO on m cubearch 11 2019 but these m cubeissing entries were not noticed until April 6 2019 and at this point the EO instructed the EOOW to im cubem cubeediately start m cubeaking entries. There have been a total of 46 entries m cubeissing between Jan 17 2019 - April 6 2019. 
Please note that the Carnival Freedom cube was in Dry Dock from cube Feb 13 2019 - m cubearch 9  2019 . There were no incinerator operations between February 17 2019 - m cubearch 6 2019 due to the Dry Dock.",Other,Other Corrective Action,After realizing that the incinerator entries were not being m cubeade the EO im cubem cubeediately inform cubeed the Engineering Officers to start m cubeaking Incinerator Entries in the Oil Record Book
On 15 April 2019 at around 11:35 pm cube a Restaurant Service team cube m cubeem cubeber reported to Navigational Bridge that whilst playing basketball in basketball court area on deck-11 a plastic bag belonging to him cube and left on a bench with a speaker on top of it outside basketball court was blown away. The plastic bag initially got stuck in Sky Deck 12. A Security Officer inspected the area along with the concerned the team cube m cubeem cubeber but the plastic bag couldnt be spotted anym cubeore.  Therefore it is presum cubeed that subject item cube was blown overboard. It is also to be noted that the plastic bag was containing team cube m cubeem cubebers ID and cabin key card. The involved team cube m cubeem cubeber also inform cubeed Environm cubeental Officer via phone at 00:25 am cube of 16 April 2019. The ship was outside 12nm cube from cube nearest land at the tim cubee the issue occurred on the way from cube m cubeare Island (New Caledonia) to Isle of Pines (New Caledonia).,Other,Other Corrective Action,see attached file CORRECTIVE ACTION
On 15th April 2019 at around 12:15 pm cube while Carnival Breeze was docked in the Port of Am cubeber Cove the Environm cubeental Officer was inform cubeed by the Staff Captain that while he was standing at the m cubeid ship gangway he saw a conical paper cup flying from cube the canopy refreshing station along the pier. Despite the effort trying to stop it it fell into the sea between the pier and the ships side. Bosun tried to reach on site with a boat hook in order to retrieve it but in the m cubeeantim cubee it disappeared and m cubeost probably went below the pier. The paper cup couldn't be retrieved from cube the water.,Other,Other Corrective Action,Shore side concerned personnel and Port Authority (m cuber. Edgar Ventura) were inform cubeed of the environm cubeental incident by the Environm cubeental Officer via em cubeail (see attachm cubeents). No further action was required.
On 15th April 2019 at around 12:15 pm cube while Carnival Breeze was docked in the Port of Am cubeber Cove the Environm cubeental Officer was inform cubeed by the Staff Captain that while he was standing at the m cubeid ship gangway he saw a conical paper cup flying from cube the canopy refreshing station along the pier. Despite the effort trying to stop it it fell into the sea between the pier and the ships side. Bosun tried to reach on site with a boat hook in order to retrieve it but in the m cubeeantim cubee it disappeared and m cubeost probably went below the pier. The paper cup couldn't be retrieved from cube the water.,Other,Other Corrective Action,An entry was recorded in Napa E Log and Garbage Record Book for the m cubearpol Annex V Violation (copy attached).
On 15th April 2019 at around 12:15 pm cube while Carnival Breeze was docked in the Port of Am cubeber Cove the Environm cubeental Officer was inform cubeed by the Staff Captain that while he was standing at the m cubeid ship gangway he saw a conical paper cup flying from cube the canopy refreshing station along the pier. Despite the effort trying to stop it it fell into the sea between the pier and the ships side. Bosun tried to reach on site with a boat hook in order to retrieve it but in the m cubeeantim cubee it disappeared and m cubeost probably went below the pier. The paper cup couldn't be retrieved from cube the water.,Other,Other Corrective Action,Bosun tried to reach on site with a boat hook in order to retrieve the paper cup but in the m cubeeantim cubee it disappeared and went below the pier.
On 12 Apr 2019( Sea Day) around  1540 hrs  a leak was detected on Freeze #3 Provision System cube on Solenoid Valve inlet econom cubeizer. Total leak quantity 104 Kg >10% of Total Capacity 312 Kg,Other,Other Corrective Action,Provision system cube was refilled with two Cylinders of NON ODS R407c Kg.104. Still running St.By #2 Com cubepressor until Solenoid valve will be m cubeaintained due to spare not on board . The spare part has been ordered and requisition attached in attachm cubeents
On 12 Apr 2019( Sea Day) around  1540 hrs  a leak was detected on Freeze #3 Provision System cube on Solenoid Valve inlet econom cubeizer. Total leak quantity 104 Kg >10% of Total Capacity 312 Kg,Other,Other Corrective Action,Com cubepressor has been put out of service and isolated now running St-by #2 Com cubepressor instead. Freeze Com cubepressor will rem cubeain out of service until the solenoid valve will be m cubeaintained.
"During the visit of m cuber. Arthur Abianza Leader Environm cubeental Special Projects the below was reported:
Found a sm cubeall am cubeount of plastic/paper wood stirrers silvers inside the food waste red bins but before their going to feed it into the pulper system cube the Galley Supervisor sort the food wastes on the pulper table and rem cubeoved im cubem cubeediately. 
As instructed by shore side an IR is being generated since the separation at source was not done.",Other,Other Corrective Action,Item cubes were separated from cube food waste bin before feeding in the pupler
On 19 April 2019 at around 10:30 am cube while the vessel was docked at G. Turk a deck m cubeaintenance team cube m cubeem cubeber while cleaning the side shell of the vessel using approved chem cubeical ( Deck clean NP) with written approval acquired from cube the Port authorities accidentally dropped one roller head into the pier water as reported to EO by his supervisor ( 2nd Bosun). Further m cubeore it was reported that the roller head was recovered by the supervisor ( 2nd Bosun) im cubem cubeediately using a recovery net tarp. The team cube m cubeem cubeber was further interrogated by EO in presence of his supervisor 2nd Bosun who stated that due to the m cubeotion of the cleaning action the roller cam cubee out and fell into the pier water. Sam cubee was reported to the Port agent via telephone and a written em cubeail. Reply from cube Port agent was also received regarding the acknowledgm cubeent.,Other,Adm cubeinistrative Control,Retraining the team cube m cubeem cubeber in TRG 2302 by EO. No GRB required as item cube was recovered.
On 19 April 2019 at around 10:30 am cube while the vessel was docked at G. Turk a deck m cubeaintenance team cube m cubeem cubeber while cleaning the side shell of the vessel using approved chem cubeical ( Deck clean NP) with written approval acquired from cube the Port authorities accidentally dropped one roller head into the pier water as reported to EO by his supervisor ( 2nd Bosun). Further m cubeore it was reported that the roller head was recovered by the supervisor ( 2nd Bosun) im cubem cubeediately using a recovery net tarp. The team cube m cubeem cubeber was further interrogated by EO in presence of his supervisor 2nd Bosun who stated that due to the m cubeotion of the cleaning action the roller cam cubee out and fell into the pier water. Sam cubee was reported to the Port agent via telephone and a written em cubeail. Reply from cube Port agent was also received regarding the acknowledgm cubeent.,Other,Adm cubeinistrative Control,Team cube m cubeem cubeber was explained about CCL policy of no unwanted item cubes to be allowed to go ovb.
While Carnival Im cubeagination was underway/open waters between 19:25(19-Apr-2019) and 04:47(20-Apr-2019)prior to feeding the pulpers Galley Stewardsunder the supervision of Galley Supervisors found the following non-food item cubes in 19 Red Bins labelled Food Only: 8 x tea sachets ;4 x sugar sachets;2 x coffee stirrers;4 x forks(silverware);5 x plastic lids(from cube coffee cups);1 x plastic cap (from cube water bottle);5 x plastic bags.It is not confirm cubeed that any item cubes definitely went overboard(no Garbage Record Book entry).See attached the A 2 log  NAPA entry and notification em cubeail sent to required shore-side parties.,Im cubeproper perform cubeance not corrected/m cubeanaged,Other Corrective Action,All non-food item cubes found in the red bins were im cubem cubeediately rem cubeoved and placed into the designated waste containers according to the Garbage m cubeanagem cubeent Plan .
While Carnival Im cubeagination was underway/open waters between 19:25(19-Apr-2019) and 04:47(20-Apr-2019)prior to feeding the pulpers Galley Stewardsunder the supervision of Galley Supervisors found the following non-food item cubes in 19 Red Bins labelled Food Only: 8 x tea sachets ;4 x sugar sachets;2 x coffee stirrers;4 x forks(silverware);5 x plastic lids(from cube coffee cups);1 x plastic cap (from cube water bottle);5 x plastic bags.It is not confirm cubeed that any item cubes definitely went overboard(no Garbage Record Book entry).See attached the A 2 log  NAPA entry and notification em cubeail sent to required shore-side parties.,Im cubeproper perform cubeance not corrected/m cubeanaged,Other Corrective Action,All non-food item cubes found in the red bins were im cubem cubeediately rem cubeoved and placed into the designated waste containers according to the Garbage m cubeanagem cubeent Plan .
While Carnival Im cubeagination was underway/open waters between 19:25(19-Apr-2019) and 04:47(20-Apr-2019)prior to feeding the pulpers Galley Stewardsunder the supervision of Galley Supervisors found the following non-food item cubes in 19 Red Bins labelled Food Only: 8 x tea sachets ;4 x sugar sachets;2 x coffee stirrers;4 x forks(silverware);5 x plastic lids(from cube coffee cups);1 x plastic cap (from cube water bottle);5 x plastic bags.It is not confirm cubeed that any item cubes definitely went overboard(no Garbage Record Book entry).See attached the A 2 log  NAPA entry and notification em cubeail sent to required shore-side parties.,Disregard for Com cubepany Procedures / Policies,Other Corrective Action,All non-food item cubes found in the red bins were im cubem cubeediately rem cubeoved and placed into the designated waste containers according to the Garbage m cubeanagem cubeent Plan .
While Carnival Im cubeagination was underway/open waters between 19:25(19-Apr-2019) and 04:47(20-Apr-2019)prior to feeding the pulpers Galley Stewardsunder the supervision of Galley Supervisors found the following non-food item cubes in 19 Red Bins labelled Food Only: 8 x tea sachets ;4 x sugar sachets;2 x coffee stirrers;4 x forks(silverware);5 x plastic lids(from cube coffee cups);1 x plastic cap (from cube water bottle);5 x plastic bags.It is not confirm cubeed that any item cubes definitely went overboard(no Garbage Record Book entry).See attached the A 2 log  NAPA entry and notification em cubeail sent to required shore-side parties.,Disregard for Com cubepany Procedures / Policies,Other Corrective Action,All non-food item cubes found in the red bins were im cubem cubeediately rem cubeoved and placed into the designated waste containers according to the Garbage m cubeanagem cubeent Plan .
On 19th April 2019 at around 09:40 pm cube while Carnival Breeze was at sea and outside 12 nm cube from cube Baham cubeas baseline a Guest reported to Guest Services desk of seeing som cubeeone unknown guests threw a piece of food overboard from cube one deck above her cabin and added that she was unsure where it actually cam cubee from cube. The Guest reached deck #11 aft and checked the starboard side area but did not notice any guests were engaging in such act.,Other,Other Corrective Action,The area was m cubeonitored by a Security Officer and no discrepancy was observed.
On 19th April 2019 at around 09:40 pm cube while Carnival Breeze was at sea and outside 12 nm cube from cube Baham cubeas baseline a Guest reported to Guest Services desk of seeing som cubeeone unknown guests threw a piece of food overboard from cube one deck above her cabin and added that she was unsure where it actually cam cubee from cube. The Guest reached deck #11 aft and checked the starboard side area but did not notice any guests were engaging in such act.,Other,Other Corrective Action,All the concerned personnel was notified of the environm cubeental incident by the Environm cubeental Officer via em cubeail. An entry was recorded in GRB and Napa E Log (please see the attachm cubeents).
"Seal for shaft dam cubeaged. Found bearing on the supply blower for AHU 5.1.2 without grease.
Failure caused m cubeild White Sm cubeoke com cubeing from cube A/C Vent spread in Crew corridors on Deck A Stair #210.
Crew Cabins in the affected Area tem cubeporary evacuated till around 1:00Am cube when source of issue was identified.
Bearing and seal for shaft replaced by Refrigeration Team cube. AHU was back is service around 04:00 Am cube.",Other,Elim cubeination/Substitution,Bearing and seal for shaft replaced AHU back is service.
While Carnival Fascination was alongside on St. Kitts Basseterre Port between 09:20 (19-April-2019) and 23:50 (19-April-2019) prior to feeding the pulpers Galley Stewards under the supervision of Galley Supervisor found the following non-food item cubes in 27 red bins labelled food only: 4 x lam cubeb bones 2 sm cubeall pieces of broken china 1 plastic straw. See attached A 2 Log NAPA entry and notification em cubeail sent to required shore side (no Garbage Record Book entry).,Other,Other Corrective Action,All non-food item cubes found in the red bins were im cubem cubeediately rem cubeoved and placed into the designated waste containers according to Garbage m cubeanagem cubeent Plan.
"Guest reported that his sail and sign card flew overboard while he was on Deck 10 open deck.
Guest was 13 year ols.
Ship was inside VGP waters.
Attachm cubeent:
Com cubem cubeunication with agent for further reporting purpose.
GRB
NAPA",Other,,
During the food waste separation from cube receptacle red bin of 32 gallons to the food waste disposal system cube som cubee non-food item cubes were found inside the receptacle m cubeixed with food waste. Non-food item cubes found are as follows: 4 wood stirrer 4 tea bag 4 sm cubeall paper sugar packs 1 paper 1 plastic transparent glove and 4 sm cubeall adhesive paper fruit sticker. All item cubes were rem cubeoved and disposed In proper waste receptacle. All item cubes found together m cubeeasure less than 0.5kg or less than 0.001m cube3. (Quantity estim cubeated and left to interpretation; m cubearpol appendix to Annex V-4.2) It is not confirm cubeed that item cubes definitively went overboard. It is suspected that m cubeixing this item cubes with the food waste was om cubeission due to the size color chem cubeical com cubeposition and hardness of the m cubeaterial. All of these characteristics m cubeay lead that person who perform cubes the separation in good intent to oversight those m cubeaterials due to the inefficiency of hum cubean senses.,Other,Other Corrective Action,Non-food item cubes rem cubeoved and disposed in correct waste receptacle.
During the food waste separation from cube receptacle red bin of 32 gallons to the food waste disposal system cube som cubee non-food item cubes were found inside the receptacle m cubeixed with food waste. Non-food item cubes found are as follows: 4 wood stirrer 4 tea bag 4 sm cubeall paper sugar packs 1 paper 1 plastic transparent glove and 4 sm cubeall adhesive paper fruit sticker. All item cubes were rem cubeoved and disposed In proper waste receptacle. All item cubes found together m cubeeasure less than 0.5kg or less than 0.001m cube3. (Quantity estim cubeated and left to interpretation; m cubearpol appendix to Annex V-4.2) It is not confirm cubeed that item cubes definitively went overboard. It is suspected that m cubeixing this item cubes with the food waste was om cubeission due to the size color chem cubeical com cubeposition and hardness of the m cubeaterial. All of these characteristics m cubeay lead that person who perform cubes the separation in good intent to oversight those m cubeaterials due to the inefficiency of hum cubean senses.,Other,Other Corrective Action,Non-food item cubes rem cubeoved and disposed in correct waste receptacle.
ON April 20th at around Please be inform cubeed that 2nd Bosun Gulshan Kum cubear C465872 reported at the security office that today around 9:30 Am cube while he was painting the railings on deck 4 port side by lifeboat # 24 he had his CCL Id in upper pocket of his coverall and as he bent down to paint the railing his ID dropped into the Ocean. Loss of item cube was recorded in the ships Garbage record book.,Other,Adm cubeinistrative Control,Supervisor will random cubely check uniform cubes of Tm cube before they start working on the open decks.
On April 20th 21st and 22nd  food operation departm cubeent reported that on sorting the content of the food waste collecting red bins before discharging the content to the pulper system cube som cubee non-food item cubes have been found. The am cubeount is approxim cubeately 0.2 kg (estim cubeated).,Other,Other Corrective Action,Non-food item cubes have been taken out from cube the red bins and disposed of appropriately.
"At approx 23:10 after carrying out one unannounced visit during BCDB ovb discharge EO checked the seals in the stabilizer room cube and found som cubee issues with the seals in the bilge system cube piping under the deck plate.
On two locations (one cage covering a valve and one PVC end of a tubing) there used to be two seals each for a total of four. On the first location the cage was loose and one of the two seals was broken (it was still in place but it fell down as soon as It was touched); On the 2nd location of the two seals supposed to keep the pipe end cover in place one was m cubeissing and the end of the tubing dam cubeaged. The rem cubeaining three seals were covered with still recent paint and num cubebers not visible after rem cubeoving the paint the EO confirm cubeed that the seals  were the original ones. On both locations the rem cubeaining seals were still able to prevent any unauthorized action.",Other,Elim cubeination/Substitution,Replacem cubeent of both broken (#2007) and m cubeissing (#2067) seal substitution of the dam cubeaged pipe end and tightening again of the cage fitting.
"At approx 23:10 after carrying out one unannounced visit during BCDB ovb discharge EO checked the seals in the stabilizer room cube and found som cubee issues with the seals in the bilge system cube piping under the deck plate.
On two locations (one cage covering a valve and one PVC end of a tubing) there used to be two seals each for a total of four. On the first location the cage was loose and one of the two seals was broken (it was still in place but it fell down as soon as It was touched); On the 2nd location of the two seals supposed to keep the pipe end cover in place one was m cubeissing and the end of the tubing dam cubeaged. The rem cubeaining three seals were covered with still recent paint and num cubebers not visible after rem cubeoving the paint the EO confirm cubeed that the seals  were the original ones. On both locations the rem cubeaining seals were still able to prevent any unauthorized action.",External Events,Elim cubeination/Substitution,Replacem cubeent of both broken (#2007) and m cubeissing (#2067) seal substitution of the dam cubeaged pipe end and tightening again of the cage fitting.
Several pcs of paper/plastic/wood/china/m cubeetal were found in food collecting red bins/buss trays during final check and prior to food being disposed to the pulper. None of below item cubes were sent to food waste processing system cube and they were properly disposed as garbage. All findings were properly logged in Food Waste Disposal Log. There is no proof that any other non-food item cubes went overboard.,Necessary Design Input Not Available,Elim cubeination/Substitution,Food checked by hand before sent to pulper. All non-food item cubes rem cubeoved and disposed properly. Incident reported.
Several pcs of paper/plastic/wood/china/m cubeetal were found in food collecting red bins/buss trays during final check and prior to food being disposed to the pulper. None of below item cubes were sent to food waste processing system cube and they were properly disposed as garbage. All findings were properly logged in Food Waste Disposal Log. There is no proof that any other non-food item cubes went overboard.,Unrealistic m cubeonitoring Requirem cubeents,Elim cubeination/Substitution,Food checked by hand before sent to pulper. All non-food item cubes rem cubeoved and disposed properly. Incident reported.
"On 23 and 24 April 2019 while rechecking the food waste from cube red bins before being placed in the pulper system cube several non food item cubes have been found. It is not confirm cubeed that any item cubes definitively went overboard.
Non Food Item cubes Found were:several pieces of plastic several pieces of paper coffee stirrers tea bags silverware item cubes broken chine red napkin (Guy Burger) banana sticker sugar paper pack",Other,Other Corrective Action,All non-food item cubes have been rem cubeoved and disposed of properly
On 22nd of April 2019. While the ship was alongside in New Orleans and during offloading operation of USDA waste at approxim cubeately 11:00 Am cube the forklift driver was loading a pallet of Wet Food Waste (USDA) into the trailer and punctured another pallet causing an spill of approxim cubeately 3 to 4 gallons of food Liquid. The spill was contained right away and cleaned properly. The waste vendor reported the incident to Custom cubes and Border Protection (CBP).,Other,Elim cubeination/Substitution,Absorbent boom cubes were laid around the area the area was rinsed with bleach and two gallons of water m cubeixed with Virkon
Carnival Liberty was at sea heading towards Port Canaveral outside 12nm cube from cube baseline on 20th  April 2019 at around 6:05 am cube during the sorting of red bins before discharging through pulper system cube som cubee nonfood item cubes found straw & disposable stirrers were rem cubeoved (please see attached log). The root cause of the incident is failure of source segregation. m cubeaster of the vessel Environm cubeental Director Environm cubeental m cubeanager and TOm cube notified. Team cube m cubeem cubebers are rem cubeinded about garbage separation during TRG-2302 training by E.O. also by their departm cubeental m cubeanager during TRG-2308 training. An entry has been m cubeade in NAPA e-log.,Other,Other Corrective Action,Nonfood item cubes found were separated prior to pulping
Carnival Liberty was at sea heading towards Port Canaveral outside 12nm cube from cube baseline on 20th  April 2019 at around 6:05 am cube during the sorting of red bins before discharging through pulper system cube som cubee nonfood item cubes found straw & disposable stirrers were rem cubeoved (please see attached log). The root cause of the incident is failure of source segregation. m cubeaster of the vessel Environm cubeental Director Environm cubeental m cubeanager and TOm cube notified. Team cube m cubeem cubebers are rem cubeinded about garbage separation during TRG-2302 training by E.O. also by their departm cubeental m cubeanager during TRG-2308 training. An entry has been m cubeade in NAPA e-log.,Other,Other Corrective Action,Nonfood item cubes found were separated prior to pulping
While  routine check of the Pulper Chute/m cubeanual Feeding hatch Waste Disposal Log - A2  done by EO  presence of non food item cubes in red bins being observed and rem cubeoved while scanning by galley stewards was found logged. These item cubes were rem cubeoved before the red bin being dum cubeped into the pulper system cube.,Other,Adm cubeinistrative Control,Relevant location personnel inform cubeed and the non-food finding item cube disposed in respective color coded bin for com cubepliance.
While  routine check of the Pulper Chute/m cubeanual Feeding hatch Waste Disposal Log - A2  done by EO  presence of non food item cubes in red bins being observed and rem cubeoved while scanning by galley stewards was found logged. These item cubes were rem cubeoved before the red bin being dum cubeped into the pulper system cube.,Other,Adm cubeinistrative Control,Relevant location personnel inform cubeed and the non-food finding item cube disposed in respective color coded bin for com cubepliance.
"On the April 26th 2019 at 09.30 Am cube  while the ship was at sea in international water a  refrigerant leak was discovered on the  U/c P-27-B which has been  refilled with 0.7 Kg of R  134A.
The leakage  was found on the  Expansion Valve Flare and was im cubem cubeediately stopped by the isolation valves. Cracked fitting  has been replaced  im cubem cubeediately pressure test was done and no m cubeore leak were  present. This was caused by  vibration and therm cubeal shock on fitting.
The unit has been checked for other leaks  no leaks present see attached pictures for your reference.
 R134A                      Total  Am cubem cubeOUNT   Refilled               0.7      Kg",Other,Other Corrective Action,The system cube was im cubem cubeediately stopped by the isolation valves. Cracked fitting has been replaced im cubem cubeediately pressure test was done and no m cubeore leak were present.
"On the April 26th 2019 at 09.30 Am cube  while the ship was at sea in international water a  refrigerant leak was discovered on the  U/c P-27-B which has been  refilled with 0.7 Kg of R  134A.
The leakage  was found on the  Expansion Valve Flare and was im cubem cubeediately stopped by the isolation valves. Cracked fitting  has been replaced  im cubem cubeediately pressure test was done and no m cubeore leak were  present. This was caused by  vibration and therm cubeal shock on fitting.
The unit has been checked for other leaks  no leaks present see attached pictures for your reference.
 R134A                      Total  Am cubem cubeOUNT   Refilled               0.7      Kg",Other,Other Corrective Action,The system cube was im cubem cubeediately stopped by the isolation valves. Cracked fitting has been replaced im cubem cubeediately pressure test was done and no m cubeore leak were present.
On April 26 2019. It was observed on the Pulper Chute m cubeanual Feeding Hatch Waste Disposal Log the presence of non-food item cubes in the red bins. The non-food item cubes including cutlery plastic gloves Plastic glass wooden stick straws sugar packets broken china bottle caps were rem cubeoved from cube the red bins and properly disposed of. The Director of Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the responsible departm cubeents have been inform cubeed accordingly to increase the supervision in their areas.,Other,Other Corrective Action,All the non-food item cubes were rem cubeoved from cube the red bins and properly disposed of.
"On April 22nd 2019 at around 06:16 pm cube the Environm cubeental Officer was inform cubeed of the following issues:
1.During the grease trap pipe replacem cubeent in the aft Provision Com cubepressor Room cube the opening of Galley Drain DB 1C tank was required. When the tank was opened plastic m cubeaterials were found and the grey water surface was covered by a film cube of cooking oil/grease (see attached pictures). The oily residue found in the tank is the drainage from cube the galley cooking appliances nam cubeely the Altoshaam cube com cubebitherm cube overs and water grills. This is food fat which discharges directly to the draining system cube from cube the catering equipm cubeent during the cooking process. 
2.During the weekly inspection and cleaning of the galley grease traps (Fwd and Aft) plastic m cubeaterials were found (see attached pictures).
It is not confirm cubeed that plastic item cubes and cooking oil/grease definitively went overboard.",Other,Other Corrective Action,The film cube of cooking oil/grease was rem cubeoved from cube the tank and transferred into drum cubes using a portable pum cubep and then into the Sludge DB N1 center (see attached photos). It will be offloaded to a truck in Port Canaveral on m cubeay 4th 2019.
